category,category_name,nid,title,broker,report_date,pdf_url,local_path,size_kb,downloaded_at
industry,산업분석,45403,항공기 공급 Shortage 장기화,하나증권,26.07.21,https://stock.pstatic.net/stock-research/industry/57/20260721_industry_766943000.pdf,industry\industry_04_260721_항공기 공급 Shortage 장기화.pdf,312.5,2026-07-21 19:24:38
industry,산업분석,45402,건설 Weekly: 이번 주부터 실적발표 시작,하나증권,26.07.21,https://stock.pstatic.net/stock-research/industry/57/20260721_industry_362851000.pdf,industry\industry_05_260721_건설 Weekly_ 이번 주부터 실적발표 시작.pdf,691.2,2026-07-21 19:24:39
industry,산업분석,45388,Weekly Retail-Cos. Letter,하나증권,26.07.20,https://stock.pstatic.net/stock-research/industry/57/20260720_industry_310981000.pdf,industry\industry_14_260720_Weekly Retail-Cos. Letter.pdf,1333.9,2026-07-21 19:24:49
industry,산업분석,45387,“or”가 아닌 “and”로 높아진 커트라인,하나증권,26.07.20,https://stock.pstatic.net/stock-research/industry/57/20260720_industry_320823000.pdf,industry\industry_15_260720_“or”가 아닌 “and”로 높아진 커트라인.pdf,2483.4,2026-07-21 19:24:50
industry,산업분석,45386,하나 Biweekly 제약/바이오(7월 중간),하나증권,26.07.20,https://stock.pstatic.net/stock-research/industry/57/20260720_industry_716954000.pdf,industry\industry_16_260720_하나 Biweekly 제약_바이오(7월 중간).pdf,1178,2026-07-21 19:24:51
industry,산업분석,45385,미국 정제마진 역사적 최대치,하나증권,26.07.20,https://stock.pstatic.net/stock-research/industry/57/20260720_industry_316009000.pdf,industry\industry_17_260720_미국 정제마진 역사적 최대치.pdf,2509.7,2026-07-21 19:24:51
industry,산업분석,45383,2Q26 Pre: 대체로 컨센 상회. 3Q가 견조한 업..,하나증권,26.07.20,https://stock.pstatic.net/stock-research/industry/57/20260720_industry_576379000.pdf,industry\industry_18_260720_2Q26 Pre_ 대체로 컨센 상회. 3Q가 견조한 업...pdf,11403.1,2026-07-21 19:24:52
industry,산업분석,45382,Don’t be shocked by US EV,하나증권,26.07.20,https://stock.pstatic.net/stock-research/industry/57/20260720_industry_331206000.pdf,industry\industry_19_260720_Don’t be shocked by US EV.pdf,2188.5,2026-07-21 19:24:53
industry,산업분석,45381,여전히 부진한 중국의 철강 관련 주요 경제 ..,하나증권,26.07.20,https://stock.pstatic.net/stock-research/industry/57/20260720_industry_990096000.pdf,industry\industry_20_260720_여전히 부진한 중국의 철강 관련 주요 경제 ...pdf,1358.7,2026-07-21 19:24:54
industry,산업분석,45420,"대형마트, 새벽배송보다 더 중요한 것",하나증권,26.07.22,https://stock.pstatic.net/stock-research/industry/57/20260722_industry_141039000.pdf,"industry\industry_hana_01_260722_대형마트, 새벽배송보다 더 중요한 것.pdf",265.9,2026-07-22 14:56:16
industry,산업분석,45419,RPS 폐지와 태양광 PPA,하나증권,26.07.22,https://stock.pstatic.net/stock-research/industry/57/20260722_industry_705011000.pdf,industry\industry_hana_02_260722_RPS 폐지와 태양광 PPA.pdf,352.8,2026-07-22 14:56:17
industry,산업분석,45380,단기적으로는 valuation 매력 높은 은행 위주..,하나증권,26.07.20,https://stock.pstatic.net/stock-research/industry/57/20260720_industry_30436000.pdf,industry\industry_hana_12_260720_단기적으로는 valuation 매력 높은 은행 위주...pdf,510,2026-07-22 14:56:18
industry,산업분석,45378,가공식품 판가 인상 함의+ 2분기 분위기 점검..,하나증권,26.07.20,https://stock.pstatic.net/stock-research/industry/57/20260720_industry_821978000.pdf,industry\industry_hana_13_260720_가공식품 판가 인상 함의+ 2분기 분위기 점검...pdf,865.6,2026-07-22 14:56:19
industry,산업분석,45377,2Q26 프리뷰 업데이트,하나증권,26.07.20,https://stock.pstatic.net/stock-research/industry/57/20260720_industry_226435000.pdf,industry\industry_hana_14_260720_2Q26 프리뷰 업데이트.pdf,2050.8,2026-07-22 14:56:20
industry,산업분석,45354,아직 시작도 안 했습니다,하나증권,26.07.16,https://stock.pstatic.net/stock-research/industry/57/20260716_industry_461038000.pdf,industry\industry_hana_15_260716_아직 시작도 안 했습니다.pdf,1163.2,2026-07-22 14:56:21
industry,산업분석,45352,한국도 납기가 우선시된다면,하나증권,26.07.16,https://stock.pstatic.net/stock-research/industry/57/20260716_industry_920129000.pdf,industry\industry_hana_16_260716_한국도 납기가 우선시된다면.pdf,868.6,2026-07-22 14:56:22
industry,산업분석,45351,데크크(Data center Creator Crew),하나증권,26.07.16,https://stock.pstatic.net/stock-research/industry/57/20260716_industry_983077000.pdf,industry\industry_hana_17_260716_데크크(Data center Creator Crew).pdf,8461.6,2026-07-22 14:56:23
industry,산업분석,45350,관광진흥개발기금 세율 상향 추진,하나증권,26.07.16,https://stock.pstatic.net/stock-research/industry/57/20260716_industry_427536000.pdf,industry\industry_hana_18_260716_관광진흥개발기금 세율 상향 추진.pdf,950.1,2026-07-22 14:56:24
industry,산업분석,45318,"건설 Weekly: 격화된 이란 분쟁, 비우호적 환..",하나증권,26.07.14,https://stock.pstatic.net/stock-research/industry/57/20260714_industry_399723000.pdf,"industry\industry_hana_19_260714_건설 Weekly_ 격화된 이란 분쟁, 비우호적 환...pdf",748.9,2026-07-22 14:56:25
industry,산업분석,45307,글로벌 실적 시즌 진입. 실적으로 우려 해소 ..,하나증권,26.07.13,https://stock.pstatic.net/stock-research/industry/57/20260713_industry_722194000.pdf,industry\industry_hana_20_260713_글로벌 실적 시즌 진입. 실적으로 우려 해소 ...pdf,2477.4,2026-07-22 14:56:26
